127.0.0.1 - - [21/Mar/2025:09:56:13 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [21/Mar/2025:09:56:15 +0900] "GET /ch2/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Mar/2025:09:56:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [21/Mar/2025:09:56:23 +0900] "GET /ch2/rollDice HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [21/Mar/2025:09:56:24 +0900] "GET /img/dice1.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [21/Mar/2025:09:56:24 +0900] "GET /img/dice2.jpg HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:37 +0900] "GET /ch2/rollDice HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:37 +0900] "GET /resources/img/dice2.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:37 +0900] "GET /resources/img/dice1.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:51 +0900] "GET /ch2/rollDice HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:51 +0900] "GET /resources/img/dice1.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:04:51 +0900] "GET /resources/img/dice2.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:05:33 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:05:33 +0900] "GET /ch2/resources/img/dice2.jpg HTTP/1.1" 200 12292
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:05:33 +0900] "GET /ch2/resources/img/dice1.jpg HTTP/1.1" 200 9430
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:37 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:37 +0900] "GET /ch2/resources/img/dice6.jpg HTTP/1.1" 200 23325
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:37 +0900] "GET /ch2/resources/img/dice3.jpg HTTP/1.1" 200 14610
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:43 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:43 +0900] "GET /ch2/resources/img/dice2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:43 +0900] "GET /ch2/resources/img/dice5.jpg HTTP/1.1" 200 19916
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:45 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:45 +0900] "GET /ch2/resources/img/dice4.jpg HTTP/1.1" 200 17529
0:0:0:0:0:0:0:1 - - [21/Mar/2025:10:10:48 +0900] "GET /ch2/rollDice HTTP/1.1" 200 125
